Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Saturday,02-10-2021 09:52,QUEENS,40.681046,-73.849304,0,No Injury,0,Fell Asleep,4463894
Saturday,02-10-2021 10:00,QUEENS,40.692574,-73.81142,2,Injured,0,Failure to Yield Right-of-Way,4463928
Saturday,02-10-2021 10:20,QUEENS,40.68775,-73.79039,0,No Injury,0,Driver Inattention,4463662
Saturday,02-10-2021 11:00,QUEENS,40.7672,-73.887825,1,Injured,0,Driver Inattention,4463678
Saturday,02-10-2021 11:24,QUEENS,40.604275,-73.74571,0,No Injury,0,Reaction to Uninvolved Vehicle,4464005
Saturday,02-10-2021 11:45,MANHATTAN,40.747066,-73.97925,1,Injured,0,Driver Inattention,4464441
Saturday,02-10-2021 11:50,QUEENS,40.694767,-73.74698,0,No Injury,0,Passing or Lane Usage Improper,4464311
Saturday,02-10-2021 11:57,QUEENS,40.701218,-73.81622,0,No Injury,0,Turning Improperly,4463917
Saturday,02-10-2021 12:00,BRONX,40.840767,-73.8658,5,Injured,0,Passing or Lane Usage Improper,4464737
Saturday,02-10-2021 12:00,MANHATTAN,40.774853,-73.98067,0,No Injury,0,Other Vehicular,4463534
Saturday,02-10-2021 12:00,QUEENS,40.763966,-73.92267,1,Injured,0,Driver Inattention,4463686
Saturday,02-10-2021 12:30,BROOKLYN,40.63558,-73.97786,0,No Injury,0,Driver Inattention,4464318
Saturday,02-10-2021 12:40,BRONX,0,0,3,Injured,0,Drugs (illegal),4463905
Saturday,02-10-2021 12:47,BRONX,40.845886,-73.915085,0,No Injury,0,Following Too Closely,4463822
Saturday,02-10-2021 13:00,MANHATTAN,40.73599,-73.98946,0,No Injury,0,Driver Inattention,4463471
Saturday,02-10-2021 13:14,BROOKLYN,40.70447,-73.94274,1,Injured,0,Driver Inattention,4463676
Saturday,02-10-2021 13:26,BRONX,40.855812,-73.890785,1,Injured,0,Driver Inattention,4463794
Saturday,02-10-2021 13:30,STATEN ISLAND,40.612183,-74.08798,0,No Injury,0,Driver Inattention,4463982
